,,,,,,
,,,,,,
,,,,,,
Sl No,Question,A,B,C,D,Answers
1,"Who heads the committee formed by Reserve Bank of India to set up a new mechanism for
stressed assets (committee will also evaluate resolution plans where debt is more than Rs 1,500
crore.)?",Diwakar Gupta,N. Manoharan,KV Kamath,Ashvin Parekh,KV Kamath
2,"EASE 2.0 Index, sometimes seen in the news recently, is associated with which of the following sector?",Banking,Logistics,Governance,None of the above,Banking
3,"Consider the following statements with respect to Sustainability Summit

1.It is an annual flagship event to raise the bar of dialogue, practice and performance of sustainable business.
2.The summit is being organized by the Confederation of Indian Industry (CII), since 2006.
Which of the statement(s) given above is/are incorrect?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,Neither 1 nor 2
4,"With respect to SAROD-Ports, launched recently, consider the following statements:

1.It is a dispute redressal mechanism to facilitate affordable and timely resolution of disputes for the maritime sector.
2.It has been established under the Societies Registration Act, 1860.
3.It consists of members from the Indian Ports Association (IPA) and Indian Private Ports and Terminals Association (IPTTA).
 Which of the statements given above are correct?",1 and 2 only,1 and 3 only,2 and 3 only,"1, 2 and 3","1, 2 and 3"
5,"Rajiv Mehrishi Committee, sometimes seen in the news recently, was constituted for which of the following purposes?",To assess the suitability of the Indian insurance industry to offer Surety Bonds for road contracts,To assess the impact of waiving of interest and waiving of interest on interest on the Covid-19-related moratorium on the economy,To review the regulatory framework on micro-insurance and recommend measures to increase the demand for such products,None of the above,To assess the impact of waiving of interest and waiving of interest on interest on the Covid-19-related moratorium on the economy
6,Which of the following regarding Five Star Villages Scheme is incorrect?,It was launched by the Department of Posts and implemented by a team of five Gramin Dak Sevaks,"Under the scheme, if a village attains universal coverage for four postal schemes, then that village will get four-star status", Pradhan Mantri Jeevan Jyoti Bima Yojana is one of the five postal schemes listed under the Five Star Villages Scheme,None of the above,None of the above
7,"Consider the following statements with respect to the Foreign Direct Investment (FDI) in Defence sector in India

1.The FDI limit in defence sector under automatic route is 74%.
2.In value terms, India imports most of its high-tech defence hardware such as aircraft, ships, submarines and missiles.
Which of the statement(s) given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,Both 1 and 2
8,"Consider the following statements with respect to Sri Viswanatha Satyanarayana

1.The Ramayana Kalpavruksham, was one of his famous work.
2.He was the first Telugu writer to receive Jnanpith Award.   
Which of the statement(s) given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,Both 1 and 2
9,"Consider the following statements with respect to the Asian Development Bank (ADB)

1.It assist its members and partners, by providing technical assistance, equity investments to promote social and economic development.
2.It admits only the members of the United Nations Economic and Social Commission for Asia and the Pacific as its members.   
Which of the statement(s) given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,1 only
10,Bahrain recently seen in news is?,An archipelago in the Persian Gulf,It is the India's second biggest oil supplier after Iran,Both (a) and (b),None of the above,An archipelago in the Persian Gulf
11,"Consider the following statements with respect to Central Water Commission (CWC)

1.It is a premier technical organization in the field of water resources functioning as an attached office of the Ministry of Jal Shakti.
2.It provides flood forecasting services to all major flood prone inter-state river basins of India.  
Which of the statement(s) given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,Both 1 and 2
12,"Consider the following statements with respect to Committee on Content Regulation in Government Advertising (CCRGA)

1.It is a three-member body, set up in 2016, mandated by the Government of India Advertising (Regulation) Act, 2015.
2.The committee is not allowed to take suo-moto cognizance of any violation of the Supreme Court guidelines.
Which of the statement(s) given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,Neither 1 nor 2
13,"Consider the following statements with respect to Global Multidimensional Poverty Index

1.It is an international measure of multidimensional poverty released every year by scoring each surveyed household on 10 parameters.
2.It was launched in 2010 by the Oxford Poverty and Human Development Initiative (OPHI) and United Nations Development Programme (UNDP).
3.NITI Aayog is the nodal agency for leveraging the monitoring mechanism of the Global MPI to drive reforms in India. 
Which of the statement(s) given above is/are correct?", 2 only,1 and 2 only,1 and 3 only,"1, 2 and 3","1, 2 and 3"
14,"Shikshak Parv Initiative, sometimes seen in the news recently, is an initiative of?",Ministry of Culture,Ministry of Tourism, Ministry of Education,None of the above,Ministry of Education
15,"Which of the following is/are associated with the state of Punjab?

1. Lohri festival
2. Giddha dance
3. Cheraw dance
4. Bhangra dance
5. Ambubashi Mela 
Select the correct answer using the codes given below:",All except 5, 1 and 4 only,"1, 2 and 4 only",All except 2 and 3,"1, 2 and 4 only"
16,"Consider the following statements with respect to Infrastructure Investment Trusts (InvITs)

1. They works on the pattern of mutual funds are very much similar to the Real Estate investment Trusts (REITs) in structure and operations.
2. In India, InvITs are regulated by the Reserve Bank of India (RBI).
Which of the statement(s) given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,1 only
17,"Consider the following statements with respect to Gaganyaan Mission

1. The objectives of the mission includes Inspiring youth and Improvement of Industrial growth.
2. It is an Indian crewed orbital spacecraft that is intended to send astronauts to space and it will be placed in a low earth orbit. 
Which of the statement(s) given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,Both 1 and 2
18,"Consider the following statements with respect to e-Kisan Mandis

1. It seeks to bring farmers, agri-producers, traders and buyers on a common platform for trading agricultural commodities.
2. It is an initiative of National Agricultural Cooperative Marketing Federation of India Ltd (NAFED).  
Which of the statement(s) given above is/are not correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,Neither 1 nor 2
19,"Consider the following statements with respect to Food Safety and Standards Authority of India (FSSAI)

1. The National Codex Contact Point of India (NCCP) has been constituted by the FSSAI for keeping liaison with the Codex Alimentarius and to coordinate Codex activities in India.
2. Only FSSAI has the responsibility for the implementation and enforcement of the Food Safety & Standards Act 2006. 
Which of the statement(s) given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,1 only
20,"Consider the following  

1. Zambia
2. The Democratic Republic of Congo
3. Namibia
Which of the Countries given above shares border with Angola?", 1 and 2 only,1 and 3 only, 2 and 3 only,"1, 2 and 3","1, 2 and 3"
21,"Consider the following statements with respect to the Living Planet Report 2020

1. It is released by World Wide Fund for Nature.   
2. The Living Planet Index (LPI) is a measure of the state of the world’s biological diversity based on population trends of vertebrate species in terrestrial, freshwater and marine habitats.
Which of the statement(s) given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor  2,Both 1 and 2
22,"Real Mango, sometimes seen in the news recently, is?",It is one of the most expensive varieties of mango found in the western parts of Western Ghats,It is an illegal software used for cornering confirmed Railway Reservation Tickets,It is a new system introduced by the Government of India to reduce export of low quality and illegal mangoes,"It is a Government of India sponsored anti-virus project which safeguards all government websites and portals from cyber attack",It is an illegal software used for cornering confirmed Railway Reservation Tickets
23,"Consider the following statements with respect to Indira Gandhi Peace Prize

1. The award was instituted by the government in 1992 on the 75th birth anniversary of former Prime Minister Indira Gandhi.
2. Centre for Science and Environment (CSE) has won the award for the year 2019.
Which of the statement(s) given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor  2,Neither 1 nor  2
24,Yanomami Tribes are the largest relatively isolated tribe in?,Brazil,Nigeria,Australia,Indonesia,Brazil
25," Consider the following statements with respect to Business Reform Action Plan (BRAP) Ranking of States

1. Ranking of States based on the implementation of BRAP started in the year 2015.
2. It was developed by the Department for Promotion of Industry and Internal Trade (DPIIT).
3. Andhra Pradesh emerged as top performer in terms of reforms, followed by Uttar Pradesh and Telangana.
Which of the statement(s) given above is/are correct?",2 only,1 and 2 only,"1, 2 and 3",None ,"1, 2 and 3"
26,"Consider the following statements with respect to World Solar Technology Summit

1. It is the first World Solar Technology Summit, organized by the International Solar Alliance (ISA).
2. The objective of the event is to bring the spotlight on state-of-the-art technologies which will provide impetus to the efforts towards harnessing solar energy more efficiently.
Which of the statement(s) given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,Both 1 and 2
27,"Consider the following statements with respect to Security Categories extended by the Government in India

1. Only Central Government can extend security to individuals.
2. The Special Protection Group members hold office during the pleasure of the President.
Which of the statement(s) given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor  2,2 only
28,"Consider the following statements with respect to Steroids

1. They are the class of natural or synthetic organic compounds.
2. They are used as anti-inflammatory medicines, designed to act like hormones used to treat a range of conditions.
Which of the statement(s) given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor  2,Both 1 and 2
29,"Consider the following statements with respect to UNICEF 

1. It is the world’s largest provider of vaccines, to support child health and nutrition.
2. It aims to promote the equal rights of women and girls and to support their full participation in the political, social and economic development of their communities.
Which of the statement(s) given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor  2,Both 1 and 2
30,K.V. Kamath committee recently seen in news was constituted for?,Restructuring of loans impacted by the pandemic,To spell out revival plans for Telecom sector,To study cryptocurrencies in India,None of the above,Restructuring of loans impacted by the pandemic
31,"Consider the following statements with respect to Critical Wildlife Habitats (CWH)

1. These are areas identified within national parks and sanctuaries on the basis of scientific and objective criteria.
2. The CWH are to be declared by the Central Government in the Ministry of Environment and Forests.
3. The CWH are defined under the Forest Rights Act, 2006.  
Which of the statements given above are correct?", 1 and 2 only,1 and 3 only,2 and 3 only,"1, 2 and 3","1, 2 and 3"
32,Which Greek ambassador set up a pillar in honour of Vishnu?,Megasthenes,Heliodoros,Theodorus,Plato,Heliodoros
33,Which of the following pairs is not correctly matched ?,Sakiyas – Kapilvastu,Koliyas – Ramagrama,Kalamas – Allakappa,Mallas – Kusinagara,Kalamas – Allakappa
34,Garuda was adopted as dynastic emblem after the imperial Guptas by ___?,Rashtrakutas,Western Chalukyas,Shilaharas,Chedis,Rashtrakutas
35,Parnadatta was appointed the Provincial Governor of Saurashtra by __?,Chandragupta Maurya,Rudradaman,Chandragupta II,Skandagupta,Skandagupta
36,What symbol represents birth of Gautama Buddha?,Bodh tree,Lotus,Horse,Wheel,Lotus
37,Gautma Buddha’s mother ‘Mahamaya’ belongs to which tribe?,Pala,Gupta,Kushan,Koliya,Koliya
38,"The Kushanas issues the coins made of __?
1. Gold
2. Silver
3. Copper
Select the correct option from the codes given below:",Only 1,Only 1 & 2,Only 1 & 3,"1, 2 & 3","1, 2 & 3"
39,One of the writers of the Dharmashashtra disapproved the practice of Sati declaring it as an act of suicide. Identify him from the given options:,Angiras,Medhatithi,Usana,Visnu,Medhatithi
40,The minister of the Gahadvala King Govindachandra and author of Kalpadruma was __?,Apararka,Chandesvara,Lakshmidhara,Vijnanesvara,Lakshmidhara
41,Which of the following pairs is not correctly matched ?,Nagananda – Harsha,Mudrarakshasa – Visakhadatta,Mrichchhakatika – Sudraka,Ratnavali – Rajasekhara,Ratnavali – Rajasekhara
42,Which among conclusions has been derived from the debasement of the coins and gradual disappearance of gold coins during the post-Gupta period?,Commodities became cheap,Gold Mining was stalled,Money economy was gradually replaced by Barter Economy,There was a decline in trade,There was a decline in trade
43,Who among the following was the founder of Pushyabhuti Dynasty ?,Pushyabhuti,Prabhakar Vardhan,Aditya vardhan,Harshavardhan,Pushyabhuti
44,Who among the following Pallava ruler built the Shore Temple at Mahabalipuram?,Narsimhavarman II,Nandivarman II,Aparajita,Mahendravarman I,Narsimhavarman II
45,Which rock edict of Ashoka requests for religious tolerance among sects?,Major Rock Edict VI,Major Rock Edict VII,Major Rock Edict VIII,Major Rock Edict V,Major Rock Edict VII
46,Which among the following is known as the earliest example of Panchayatana style of temple?,Dashavatara temple at Deogarh,Temple at Pathari,Shatrughneshwara temple at Bhubaneshwar,Lakshmana temple at Sirpur,Dashavatara temple at Deogarh
47,"Vidhushaka, a common character in Sanskrit drama is ___?",Brahmana, Kshatriya,Vaishya,Shudra,Brahmana
48,Which Ashokan pillar edict mentions the Dhamma Mahamattas?,pillar edict VII,pillar edict VIII,"pillar edict VI",pillar edict V,pillar edict VII
49,Which of the following was the capital of Chola dynasty?,Madurai,Karur,Uraiyaur,Kaveripattnam,Uraiyaur
50,"At which among the following sites, first evidence of cultivation of cotton has been found?",Piklihal,Hathonora,Mehrgarh,Ghaligai,Mehrgarh
51,Which physician was sent by Bimbisara to treat Avanti King Pradyota?,Jivaka,Udayin,Kalashoka,Both a & b,Jivaka
52,"In which year, Ashoka invaded Kalinga?",261 BC,235 BC,285 BC,275 BC,261 BC
53,"Vidhushaka, a common character in Sanskrit drama is ___?",Brahmana,Kshatriya,Vaishya,Shudra,Brahmana
54,The oldest evidence in human history for the drilling of teeth in a living person was found in which of the following cultures?,Ahar banas,Mehrgarh,Sohn Valley,Malwa,Mehrgarh
55,"Among all the pillar edicts of Ashoka, which one is the longest one?",7th pillar edict,6th pillar edict,5th pillar edict,3th pillar edict,7th pillar edict
56,Who was the author of the book ‘Tirukkural’?,Seethalai Saathanaar,Tiruttakrdeva,Ilango Adigal,Thiruvalluvar,Thiruvalluvar
57,Which of the following Vedanga is related to metrics?,Kalpa,Nirkuta,Chhanda,Shiksha,Chhanda
58,Which among the following is the correct location of an ancient site Deh Morasi Ghundai?,Northern Pakistan,Eastern Persia,Modern Turkey,Afghanistan,Afghanistan
59,"“Revere all the Buddhas, revere the dharma, revere the sangha” Which among the following quotes this _________?",Allahabad Pillar Inscription,Asoka Edict XII,Asoka Edict X,Mathura Lion capital,Mathura Lion capital
60,Who was the founder of Gupta Dynasty?,Sri Gupta,Samudragupta,Chandragupta I,Chandragupta II,Sri Gupta
61,Which of the following Pala Kings founded the Vikramshila University?,Gopala,Dharmapala,Devapala,Mahendrapala,Dharmapala
62,Which among the following was main item of revenue during Maurya Period?,Bhaga,Pindikara,Hiranya,None of the above,Bhaga
63,Who among the following has been described by Banabhatta as “a lion to the Huna deer’?,Harshavardhana,Prabhakarvardhana ,Grahavarmana,None of the above,Prabhakarvardhana  
64,What was the profession of Karmara in Vedic age?,Blacksmith,Potter,Ratha (Chariot ) Makers,Goldsmith,Blacksmith
65,"After death of Bindusara, who among the following is considered to help Asoka to capture the throne?",Vishnugupta,Radhagupta,Tishya,Bairam khan,Radhagupta
66,The Taxila or Takshashila was located between following two rivers ? ,Indus & Jhelum,Jhelum & Chenab,Chenab & Ravi,Chenab & Beas,Indus & Jhelum
67,Which among the following are correct about Chola King Rajendra Chola1?,He built a temple for Siva at Gangaikonda Cholapuram,He also built Tanjore Brihadisvara temple,He built Tanjore Brihadisvara temple for a tribute to his father,None of the above,He built a temple for Siva at Gangaikonda Cholapuram
68,Who among the following was the most important divinity during the early Vedic era?,Agni,Indra,Vayu,Varuna,Indra
69,What was the meaning of Visthi in the Gupta Era?,Religious Functionaries,Forced Labor,Prostitutes,Police,Forced Labor
70,Which of the following two towns of Indus valley Civilization were located on the bank of Ghagghar River?,Harappa & Rojari,Harappa & Mohen jo Dero,Kalibanga and Banwali,Rangpur and Surkotda,Kalibanga and Banwali